method,solver,tolerance,gap_bin,n_layouts,success_percent,mean_visited,mean_worst_distance,nonfinite_layouts
analytic_multi,rk4_8000,0.05,5–<10%,25,100.0,4.0,4.3304542654709475e-05,0
analytic_multi,rk4_8000,0.05,≥10%,25,100.0,4.0,3.210494821058402e-05,0
analytic_multi,dop853,0.02,ALL_selected,100,51.0,2.98,0.07266424085082418,0
analytic_multi,dop853,0.02,<1%,25,0.0,2.08,0.13652406306333478,0
analytic_multi,dop853,0.02,1–<5%,25,4.0,1.84,0.15413290033995955,0
analytic_multi,dop853,0.02,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
analytic_multi,dop853,0.02,≥10%,25,100.0,4.0,1.2354323312156542e-15,0
analytic_multi,dop853,0.05,ALL_selected,100,59.0,3.46,0.07266424085082418,0
analytic_multi,dop853,0.05,<1%,25,20.0,2.96,0.13652406306333478,0
analytic_multi,dop853,0.05,1–<5%,25,16.0,2.88,0.15413290033995955,0
analytic_multi,dop853,0.05,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
analytic_multi,dop853,0.05,≥10%,25,100.0,4.0,1.2354323312156542e-15,0
analytic_multi,dop853_tight,0.02,ALL_selected,100,51.0,2.99,0.07751080801807554,0
analytic_multi,dop853_tight,0.02,<1%,25,0.0,2.08,0.1458108215432776,0
analytic_multi,dop853_tight,0.02,1–<5%,25,4.0,1.88,0.16423241052902215,0
analytic_multi,dop853_tight,0.02,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
analytic_multi,dop853_tight,0.02,≥10%,25,100.0,4.0,1.2354323312156542e-15,0
analytic_multi,dop853_tight,0.05,ALL_selected,100,56.00000000000001,3.42,0.07751080801807554,0
analytic_multi,dop853_tight,0.05,<1%,25,12.0,2.84,0.1458108215432776,0
analytic_multi,dop853_tight,0.05,1–<5%,25,12.0,2.84,0.16423241052902215,0
analytic_multi,dop853_tight,0.05,5–<10%,25,100.0,4.0,1.1528338550875753e-15,0
analytic_multi,dop853_tight,0.05,≥10%,25,100.0,4.0,1.2354323312156542e-15,0
