method,layout_index,in_sample,gap_bin,gap_percent,n_candidates,tolerance,classification,numerically_agreed,dop_agreed,rk4_agreed,single_control_ok,single_exact_max_error,dop_position_delta,dop_distance_delta,metric_grid_distance_delta,rk4_last_position_delta,rk4_last_distance_delta,rk4_vs_dop_position_delta,rk4_vs_dop_distance_delta,dop_tight_success,dop_tight_worst_distance,rk4_coarsest_steps,rk4_highest_steps,rk4_coarsest_worst_distance,rk4_high_worst_distance,error
analytic_single,80,True,≥10%,10.05079756005045,1,0.05,PASS_STABLE,True,True,True,True,1.793620188084545e-15,0.0,0.0,0.0,0.000128948581292881,7.784437890378988e-05,3.362618428342245e-05,4.1579612548972546e-05,True,1.395804689683384e-15,1000,8000,0.00047611379805069303,4.157961254957042e-05,
analytic_single,83,True,≥10%,11.078498080319745,1,0.02,PASS_STABLE,True,True,True,True,1.602148379482783e-15,0.0,0.0,0.0,3.846436746260819e-05,3.273948003565021e-05,1.7173909193059828e-05,2.3349281382913327e-05,True,1.4812222630807097e-15,1000,8000,0.00028444805480178455,2.3349281383721583e-05,
analytic_single,83,True,≥10%,11.078498080319745,1,0.05,PASS_STABLE,True,True,True,True,1.602148379482783e-15,0.0,0.0,0.0,3.846436746260819e-05,3.273948003565021e-05,1.7173909193059828e-05,2.3349281382913327e-05,True,1.4812222630807097e-15,1000,8000,0.00028444805480178455,2.3349281383721583e-05,
analytic_single,86,True,≥10%,10.02820019398373,1,0.02,PASS_STABLE,True,True,True,True,8.899114524108741e-16,0.0,0.0,0.0,0.00013671053303571736,0.00013441245423046532,6.48665153030982e-05,6.312104751028097e-05,True,3.3306690738754696e-16,1000,8000,0.00039393369192562596,6.312104751033648e-05,
analytic_single,86,True,≥10%,10.02820019398373,1,0.05,PASS_STABLE,True,True,True,True,8.899114524108741e-16,0.0,0.0,0.0,0.00013671053303571736,0.00013441245423046532,6.48665153030982e-05,6.312104751028097e-05,True,3.3306690738754696e-16,1000,8000,0.00039393369192562596,6.312104751033648e-05,
analytic_single,101,True,<1%,0.7494035500969325,2,0.02,PASS_STABLE,True,True,True,True,1.2658490090568385e-15,0.0,0.0,0.0,0.0001328069084138225,7.035262599470818e-05,6.971911830918485e-05,8.827892990627233e-05,True,6.77599954797753e-16,1000,8000,0.00037842090462541535,8.827892990677193e-05,
analytic_single,101,True,<1%,0.7494035500969325,2,0.05,PASS_STABLE,True,True,True,True,1.2658490090568385e-15,0.0,0.0,0.0,0.0001328069084138225,7.035262599470818e-05,6.971911830918485e-05,8.827892990627233e-05,True,6.77599954797753e-16,1000,8000,0.00037842090462541535,8.827892990677193e-05,
analytic_single,117,True,<1%,0.307658357667404,3,0.02,PASS_STABLE,True,True,True,True,8.95090418262362e-16,0.0,0.0,0.0,0.0001440316301124733,5.3802777434126594e-05,1.7313804269574972e-05,2.6329441105223238e-05,True,7.850462293418876e-16,1000,8000,0.0005486988035491352,2.6329441106008285e-05,
analytic_single,117,True,<1%,0.307658357667404,3,0.05,PASS_STABLE,True,True,True,True,8.95090418262362e-16,0.0,0.0,0.0,0.0001440316301124733,5.3802777434126594e-05,1.7313804269574972e-05,2.6329441105223238e-05,True,7.850462293418876e-16,1000,8000,0.0005486988035491352,2.6329441106008285e-05,
analytic_single,140,True,1–<5%,3.9455224664604875,2,0.02,PASS_STABLE,True,True,True,True,2.4582102826059027e-15,0.0,0.0,0.0,0.00017021224632809368,0.00011026961083914482,3.3369818003717644e-05,2.2590641949506647e-05,True,2.4464300307136874e-15,1000,8000,0.00046177285025835656,2.259064195053022e-05,
analytic_single,140,True,1–<5%,3.9455224664604875,2,0.05,PASS_STABLE,True,True,True,True,2.4582102826059027e-15,0.0,0.0,0.0,0.00017021224632809368,0.00011026961083914482,3.3369818003717644e-05,2.2590641949506647e-05,True,2.4464300307136874e-15,1000,8000,0.00046177285025835656,2.259064195053022e-05,
analytic_single,149,True,<1%,0.6884553394959876,4,0.02,PASS_STABLE,True,True,True,True,1.2658490090568385e-15,0.0,0.0,0.0,0.00014162404960803307,0.00011021104961850457,5.938908200587633e-05,3.4673836277728895e-05,True,9.485749680535094e-16,1000,8000,0.00020419586936921188,3.467383627797715e-05,
analytic_single,149,True,<1%,0.6884553394959876,4,0.05,PASS_STABLE,True,True,True,True,1.2658490090568385e-15,0.0,0.0,0.0,0.00014162404960803307,0.00011021104961850457,5.938908200587633e-05,3.4673836277728895e-05,True,9.485749680535094e-16,1000,8000,0.00020419586936921188,3.467383627797715e-05,
analytic_single,154,True,≥10%,16.708105881692674,1,0.02,PASS_STABLE,True,True,True,True,2.1210781103223385e-15,0.0,0.0,0.0,0.0001677309857768184,3.389830512633005e-05,5.188881227304234e-05,6.324724366898828e-05,True,1.577923392343183e-15,1000,8000,0.00027130667388076084,6.324724367039262e-05,
analytic_single,154,True,≥10%,16.708105881692674,1,0.05,PASS_STABLE,True,True,True,True,2.1210781103223385e-15,0.0,0.0,0.0,0.0001677309857768184,3.389830512633005e-05,5.188881227304234e-05,6.324724366898828e-05,True,1.577923392343183e-15,1000,8000,0.00027130667388076084,6.324724367039262e-05,
analytic_single,165,True,1–<5%,1.3741147271240406,3,0.02,PASS_STABLE,True,True,True,True,1.0370338861126152e-15,0.0,0.0,0.0,0.00014096325052253655,3.584638199938817e-05,8.060458377562802e-05,7.1156205071866e-05,True,8.886119947416683e-16,1000,8000,0.0004209193689647832,7.115620507266659e-05,
analytic_single,165,True,1–<5%,1.3741147271240406,3,0.05,PASS_STABLE,True,True,True,True,1.0370338861126152e-15,0.0,0.0,0.0,0.00014096325052253655,3.584638199938817e-05,8.060458377562802e-05,7.1156205071866e-05,True,8.886119947416683e-16,1000,8000,0.0004209193689647832,7.115620507266659e-05,
analytic_single,174,True,<1%,0.5449261941499001,2,0.02,PASS_STABLE,True,True,True,True,2.0175840826237853e-15,0.0,0.0,0.0,3.3077362300060445e-05,1.8535349107375357e-05,3.228042613109468e-05,3.944750031384318e-05,True,1.6136471996107275e-15,1000,8000,0.0003200151357442499,3.944750031495479e-05,
analytic_single,174,True,<1%,0.5449261941499001,2,0.05,PASS_STABLE,True,True,True,True,2.0175840826237853e-15,0.0,0.0,0.0,3.3077362300060445e-05,1.8535349107375357e-05,3.228042613109468e-05,3.944750031384318e-05,True,1.6136471996107275e-15,1000,8000,0.0003200151357442499,3.944750031495479e-05,
analytic_single,185,True,<1%,0.3098803887270494,5,0.02,PASS_STABLE,True,True,True,True,2.132668787380004e-15,0.0,0.0,0.0,0.00015026245067283257,0.00010897123490756174,2.769145997184559e-05,4.007001413369668e-05,True,1.2658490090568385e-15,1000,8000,0.0006023140330991194,4.007001413469742e-05,
analytic_single,185,True,<1%,0.3098803887270494,5,0.05,PASS_STABLE,True,True,True,True,2.132668787380004e-15,0.0,0.0,0.0,0.00015026245067283257,0.00010897123490756174,2.769145997184559e-05,4.007001413369668e-05,True,1.2658490090568385e-15,1000,8000,0.0006023140330991194,4.007001413469742e-05,
analytic_single,186,True,1–<5%,3.6453051614395986,2,0.02,PASS_STABLE,True,True,True,True,2.2037297810228127e-15,0.0,0.0,0.0,0.00013377393110060895,5.629265120705548e-05,3.3209002112133134e-05,2.2472682686296824e-05,True,1.831026719408895e-15,1000,8000,0.0005317046377799334,2.2472682686420952e-05,
analytic_single,186,True,1–<5%,3.6453051614395986,2,0.05,PASS_STABLE,True,True,True,True,2.2037297810228127e-15,0.0,0.0,0.0,0.00013377393110060895,5.629265120705548e-05,3.3209002112133134e-05,2.2472682686296824e-05,True,1.831026719408895e-15,1000,8000,0.0005317046377799334,2.2472682686420952e-05,
analytic_single,187,True,1–<5%,1.538416200759337,2,0.02,PASS_STABLE,True,True,True,True,1.4936523181711914e-15,0.0,0.0,0.0,0.00012947544005534312,0.00010024030467992066,3.703794720582207e-05,4.575120719485572e-05,True,1.2959208739370123e-15,1000,8000,0.000356148258290965,4.5751207195358394e-05,
analytic_single,187,True,1–<5%,1.538416200759337,2,0.05,PASS_STABLE,True,True,True,True,1.4936523181711914e-15,0.0,0.0,0.0,0.00012947544005534312,0.00010024030467992066,3.703794720582207e-05,4.575120719485572e-05,True,1.2959208739370123e-15,1000,8000,0.000356148258290965,4.5751207195358394e-05,
analytic_single,236,True,≥10%,11.087489028914106,1,0.02,PASS_STABLE,True,True,True,True,5.266250202865052e-16,0.0,0.0,0.0,0.00013806097235243887,9.668806030231117e-05,3.969384455209716e-05,4.633008808392509e-05,True,3.973993651728112e-16,1000,8000,0.0004712700794537519,4.633008808432249e-05,
