method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
analytic_single,40,5–<10%,0.0,0.02,4→2→3→1,1
analytic_single,40,5–<10%,0.0,0.05,4→2→3→1,1
analytic_single,40,5–<10%,0.01,0.02,4→2→3→1,20
analytic_single,40,5–<10%,0.01,0.05,4→2→3→1,20
analytic_single,40,5–<10%,0.05,0.02,4→2→3→1,10
analytic_single,40,5–<10%,0.05,0.05,4→2→3→1,17
analytic_single,43,<1%,0.0,0.02,3→4→2→1,1
analytic_single,43,<1%,0.0,0.05,3→4→2→1,1
analytic_single,43,<1%,0.01,0.02,3→4→2→1,20
analytic_single,43,<1%,0.01,0.05,3→4→2→1,20
analytic_single,43,<1%,0.05,0.02,3→4→2→1,14
analytic_single,43,<1%,0.05,0.05,3→4→2→1,20
analytic_single,45,≥10%,0.0,0.02,4→2→1→3,1
analytic_single,45,≥10%,0.0,0.05,4→2→1→3,1
analytic_single,45,≥10%,0.01,0.02,4→2→1→3,20
analytic_single,45,≥10%,0.01,0.05,4→2→1→3,20
analytic_single,45,≥10%,0.05,0.05,4→2→1→3,18
analytic_single,45,≥10%,0.05,0.02,4→2→1→3,5
analytic_single,47,5–<10%,0.0,0.02,4→2→3→1,1
analytic_single,47,5–<10%,0.0,0.05,4→2→3→1,1
analytic_single,47,5–<10%,0.01,0.02,4→2→3→1,20
analytic_single,47,5–<10%,0.01,0.05,4→2→3→1,20
analytic_single,47,5–<10%,0.05,0.02,4→2→3→1,10
analytic_single,47,5–<10%,0.05,0.05,4→2→3→1,18
analytic_single,80,≥10%,0.0,0.02,3→4→2→1,1
analytic_single,80,≥10%,0.0,0.05,3→4→2→1,1
analytic_single,80,≥10%,0.01,0.02,3→4→2→1,20
analytic_single,80,≥10%,0.01,0.05,3→4→2→1,20
analytic_single,80,≥10%,0.05,0.05,3→4→2→1,20
analytic_single,80,≥10%,0.05,0.02,3→4→2→1,11
analytic_single,83,≥10%,0.0,0.02,4→3→1→2,1
analytic_single,83,≥10%,0.0,0.05,4→3→1→2,1
analytic_single,83,≥10%,0.01,0.02,4→3→1→2,20
analytic_single,83,≥10%,0.01,0.05,4→3→1→2,20
analytic_single,83,≥10%,0.05,0.05,4→3→1→2,19
analytic_single,83,≥10%,0.05,0.02,4→3→1→2,7
analytic_single,86,≥10%,0.0,0.02,2→3→4→1,1
analytic_single,86,≥10%,0.0,0.05,2→3→4→1,1
analytic_single,86,≥10%,0.01,0.02,2→3→4→1,20
analytic_single,86,≥10%,0.01,0.05,2→3→4→1,20
analytic_single,86,≥10%,0.05,0.02,2→3→4→1,16
analytic_single,86,≥10%,0.05,0.05,2→3→4→1,20
analytic_single,101,<1%,0.0,0.02,2→1→3→4,1
analytic_single,101,<1%,0.0,0.05,2→1→3→4,1
analytic_single,101,<1%,0.01,0.02,2→1→3→4,20
analytic_single,101,<1%,0.01,0.05,2→1→3→4,20
analytic_single,101,<1%,0.05,0.02,2→1→3→4,12
analytic_single,101,<1%,0.05,0.05,2→1→3→4,20
analytic_single,117,<1%,0.0,0.02,2→3→1→4,1
analytic_single,117,<1%,0.0,0.05,2→3→1→4,1
analytic_single,117,<1%,0.01,0.02,2→3→1→4,20
analytic_single,117,<1%,0.01,0.05,2→3→1→4,20
analytic_single,117,<1%,0.05,0.02,2→3→1→4,10
analytic_single,117,<1%,0.05,0.05,2→3→1→4,20
analytic_single,140,1–<5%,0.0,0.02,3→2→1→4,1
analytic_single,140,1–<5%,0.0,0.05,3→2→1→4,1
analytic_single,140,1–<5%,0.01,0.02,3→2→1→4,20
analytic_single,140,1–<5%,0.01,0.05,3→2→1→4,20
analytic_single,140,1–<5%,0.05,0.02,3→2→1→4,12
analytic_single,140,1–<5%,0.05,0.05,3→2→1→4,20
analytic_single,149,<1%,0.0,0.02,3→2→1→4,1
analytic_single,149,<1%,0.0,0.05,3→2→1→4,1
analytic_single,149,<1%,0.01,0.02,3→2→1→4,20
analytic_single,149,<1%,0.01,0.05,3→2→1→4,20
analytic_single,149,<1%,0.05,0.02,3→2→1→4,13
analytic_single,149,<1%,0.05,0.05,3→2→1→4,20
analytic_single,154,≥10%,0.0,0.02,3→1→4→2,1
analytic_single,154,≥10%,0.0,0.05,3→1→4→2,1
analytic_single,154,≥10%,0.01,0.02,3→1→4→2,20
analytic_single,154,≥10%,0.01,0.05,3→1→4→2,20
analytic_single,154,≥10%,0.05,0.05,3→1→4→2,17
analytic_single,154,≥10%,0.05,0.02,3→1→4→2,5
analytic_single,165,1–<5%,0.0,0.02,3→4→1→2,1
analytic_single,165,1–<5%,0.0,0.05,3→4→1→2,1
analytic_single,165,1–<5%,0.01,0.02,3→4→1→2,20
analytic_single,165,1–<5%,0.01,0.05,3→4→1→2,20
analytic_single,165,1–<5%,0.05,0.05,3→4→1→2,20
analytic_single,165,1–<5%,0.05,0.02,3→4→1→2,9
analytic_single,174,<1%,0.0,0.02,2→1→4→3,1
analytic_single,174,<1%,0.0,0.05,2→1→4→3,1
analytic_single,174,<1%,0.01,0.02,2→1→4→3,20
analytic_single,174,<1%,0.01,0.05,2→1→4→3,20
analytic_single,174,<1%,0.05,0.05,2→1→4→3,18
analytic_single,174,<1%,0.05,0.02,2→1→4→3,9
analytic_single,185,<1%,0.0,0.02,3→2→4→1,1
analytic_single,185,<1%,0.0,0.05,3→2→4→1,1
analytic_single,185,<1%,0.01,0.02,3→2→4→1,20
analytic_single,185,<1%,0.01,0.05,3→2→4→1,20
analytic_single,185,<1%,0.05,0.05,3→2→4→1,20
analytic_single,185,<1%,0.05,0.02,3→2→4→1,9
analytic_single,186,1–<5%,0.0,0.02,2→4→1→3,1
analytic_single,186,1–<5%,0.0,0.05,2→4→1→3,1
analytic_single,186,1–<5%,0.01,0.02,2→4→1→3,20
analytic_single,186,1–<5%,0.01,0.05,2→4→1→3,20
analytic_single,186,1–<5%,0.05,0.02,2→4→1→3,11
analytic_single,186,1–<5%,0.05,0.05,2→4→1→3,17
analytic_single,187,1–<5%,0.0,0.02,3→2→1→4,1
analytic_single,187,1–<5%,0.0,0.05,3→2→1→4,1
analytic_single,187,1–<5%,0.01,0.02,3→2→1→4,20
analytic_single,187,1–<5%,0.01,0.05,3→2→1→4,20
analytic_single,187,1–<5%,0.05,0.05,3→2→1→4,17
analytic_single,187,1–<5%,0.05,0.02,3→2→1→4,9
analytic_single,236,≥10%,0.0,0.02,2→4→1→3,1
analytic_single,236,≥10%,0.0,0.05,2→4→1→3,1
analytic_single,236,≥10%,0.01,0.02,2→4→1→3,20
analytic_single,236,≥10%,0.01,0.05,2→4→1→3,20
analytic_single,236,≥10%,0.05,0.02,2→4→1→3,7
analytic_single,236,≥10%,0.05,0.05,2→4→1→3,18
analytic_single,246,≥10%,0.0,0.02,3→2→1→4,1
analytic_single,246,≥10%,0.0,0.05,3→2→1→4,1
analytic_single,246,≥10%,0.01,0.02,3→2→1→4,20
analytic_single,246,≥10%,0.01,0.05,3→2→1→4,20
analytic_single,246,≥10%,0.05,0.05,3→2→1→4,20
analytic_single,246,≥10%,0.05,0.02,3→2→1→4,12
analytic_single,248,≥10%,0.0,0.02,3→1→2→4,1
analytic_single,248,≥10%,0.0,0.05,3→1→2→4,1
analytic_single,248,≥10%,0.01,0.02,3→1→2→4,20
analytic_single,248,≥10%,0.01,0.05,3→1→2→4,20
analytic_single,248,≥10%,0.05,0.05,3→1→2→4,19
analytic_single,248,≥10%,0.05,0.02,3→1→2→4,13
analytic_single,250,≥10%,0.0,0.02,1→3→2→4,1
analytic_single,250,≥10%,0.0,0.05,1→3→2→4,1
analytic_single,250,≥10%,0.01,0.02,1→3→2→4,20
analytic_single,250,≥10%,0.01,0.05,1→3→2→4,20
analytic_single,250,≥10%,0.05,0.02,1→3→2→4,11
analytic_single,250,≥10%,0.05,0.05,1→3→2→4,19
analytic_single,281,1–<5%,0.0,0.02,4→2→1→3,1
analytic_single,281,1–<5%,0.0,0.05,4→2→1→3,1
analytic_single,281,1–<5%,0.01,0.02,4→2→1→3,20
analytic_single,281,1–<5%,0.01,0.05,4→2→1→3,20
analytic_single,281,1–<5%,0.05,0.05,4→2→1→3,20
analytic_single,281,1–<5%,0.05,0.02,4→2→1→3,11
analytic_single,312,1–<5%,0.0,0.02,1→4→3→2,1
analytic_single,312,1–<5%,0.0,0.05,1→4→3→2,1
analytic_single,312,1–<5%,0.01,0.02,1→4→3→2,20
analytic_single,312,1–<5%,0.01,0.05,1→4→3→2,20
analytic_single,312,1–<5%,0.05,0.02,1→4→3→2,11
analytic_single,312,1–<5%,0.05,0.05,1→4→3→2,19
analytic_single,322,≥10%,0.0,0.02,4→3→1→2,1
analytic_single,322,≥10%,0.0,0.05,4→3→1→2,1
analytic_single,322,≥10%,0.01,0.02,4→3→1→2,20
analytic_single,322,≥10%,0.01,0.05,4→3→1→2,20
analytic_single,322,≥10%,0.05,0.05,4→3→1→2,18
analytic_single,322,≥10%,0.05,0.02,4→3→1→2,6
analytic_single,329,1–<5%,0.0,0.02,2→3→1→4,1
analytic_single,329,1–<5%,0.0,0.05,2→3→1→4,1
analytic_single,329,1–<5%,0.01,0.02,2→3→1→4,20
analytic_single,329,1–<5%,0.01,0.05,2→3→1→4,20
analytic_single,329,1–<5%,0.05,0.02,2→3→1→4,8
analytic_single,329,1–<5%,0.05,0.05,2→3→1→4,18
analytic_single,332,<1%,0.0,0.02,3→2→1→4,1
analytic_single,332,<1%,0.0,0.05,3→2→1→4,1
analytic_single,332,<1%,0.01,0.02,3→2→1→4,20
analytic_single,332,<1%,0.01,0.05,3→2→1→4,20
analytic_single,332,<1%,0.05,0.02,3→2→1→4,17
analytic_single,332,<1%,0.05,0.05,3→2→1→4,20
analytic_single,353,5–<10%,0.0,0.02,3→1→4→2,1
analytic_single,353,5–<10%,0.0,0.05,3→1→4→2,1
analytic_single,353,5–<10%,0.01,0.02,3→1→4→2,20
analytic_single,353,5–<10%,0.01,0.05,3→1→4→2,20
analytic_single,353,5–<10%,0.05,0.02,3→1→4→2,15
analytic_single,353,5–<10%,0.05,0.05,3→1→4→2,20
analytic_single,363,<1%,0.0,0.02,4→1→3→2,1
analytic_single,363,<1%,0.0,0.05,4→1→3→2,1
analytic_single,363,<1%,0.01,0.02,4→1→3→2,20
analytic_single,363,<1%,0.01,0.05,4→1→3→2,20
analytic_single,363,<1%,0.05,0.02,4→1→3→2,7
analytic_single,363,<1%,0.05,0.05,4→1→3→2,18
analytic_single,364,5–<10%,0.0,0.02,4→1→3→2,1
analytic_single,364,5–<10%,0.0,0.05,4→1→3→2,1
analytic_single,364,5–<10%,0.01,0.02,4→1→3→2,20
analytic_single,364,5–<10%,0.01,0.05,4→1→3→2,20
analytic_single,364,5–<10%,0.05,0.02,4→1→3→2,8
analytic_single,364,5–<10%,0.05,0.05,4→1→3→2,20
analytic_single,366,<1%,0.0,0.02,1→2→3→4,1
analytic_single,366,<1%,0.0,0.05,1→2→3→4,1
analytic_single,366,<1%,0.01,0.02,1→2→3→4,19
analytic_single,366,<1%,0.01,0.05,1→2→3→4,20
analytic_single,366,<1%,0.05,0.05,1→2→3→4,15
analytic_single,366,<1%,0.05,0.02,1→2→3→4,6
analytic_single,379,<1%,0.0,0.02,4→1→2→3,1
analytic_single,379,<1%,0.0,0.05,4→1→2→3,1
analytic_single,379,<1%,0.01,0.02,4→1→2→3,20
analytic_single,379,<1%,0.01,0.05,4→1→2→3,20
analytic_single,379,<1%,0.05,0.02,4→1→2→3,11
analytic_single,379,<1%,0.05,0.05,4→1→2→3,19
analytic_single,391,1–<5%,0.0,0.02,2→1→3→4,1
analytic_single,391,1–<5%,0.0,0.05,2→1→3→4,1
analytic_single,391,1–<5%,0.01,0.02,2→1→3→4,20
analytic_single,391,1–<5%,0.01,0.05,2→1→3→4,20
analytic_single,391,1–<5%,0.05,0.05,2→1→3→4,20
analytic_single,391,1–<5%,0.05,0.02,2→1→3→4,12
analytic_single,418,1–<5%,0.0,0.02,1→2→4→3,1
analytic_single,418,1–<5%,0.0,0.05,1→2→4→3,1
analytic_single,418,1–<5%,0.01,0.02,1→2→4→3,20
analytic_single,418,1–<5%,0.01,0.05,1→2→4→3,20
analytic_single,418,1–<5%,0.05,0.05,1→2→4→3,20
analytic_single,418,1–<5%,0.05,0.02,1→2→4→3,11
analytic_single,428,1–<5%,0.0,0.02,4→3→2→1,1
analytic_single,428,1–<5%,0.0,0.05,4→3→2→1,1
analytic_single,428,1–<5%,0.01,0.02,4→3→2→1,20
analytic_single,428,1–<5%,0.01,0.05,4→3→2→1,20
analytic_single,428,1–<5%,0.05,0.02,4→3→2→1,13
analytic_single,428,1–<5%,0.05,0.05,4→3→2→1,20
analytic_single,434,5–<10%,0.0,0.02,1→2→4→3,1
analytic_single,434,5–<10%,0.0,0.05,1→2→4→3,1
analytic_single,434,5–<10%,0.01,0.02,1→2→4→3,20
analytic_single,434,5–<10%,0.01,0.05,1→2→4→3,20
analytic_single,434,5–<10%,0.05,0.02,1→2→4→3,8
analytic_single,434,5–<10%,0.05,0.05,1→2→4→3,17
analytic_single,437,<1%,0.0,0.02,2→3→1→4,1
analytic_single,437,<1%,0.0,0.05,2→3→1→4,1
analytic_single,437,<1%,0.01,0.02,2→3→1→4,20
analytic_single,437,<1%,0.01,0.05,2→3→1→4,20
analytic_single,437,<1%,0.05,0.05,2→3→1→4,20
analytic_single,437,<1%,0.05,0.02,2→3→1→4,14
analytic_single,448,5–<10%,0.0,0.02,1→2→3→4,1
analytic_single,448,5–<10%,0.0,0.05,1→2→3→4,1
analytic_single,448,5–<10%,0.01,0.02,1→2→3→4,20
analytic_single,448,5–<10%,0.01,0.05,1→2→3→4,20
analytic_single,448,5–<10%,0.05,0.05,1→2→3→4,15
analytic_single,448,5–<10%,0.05,0.02,1→2→3→4,3
analytic_single,450,5–<10%,0.0,0.02,1→4→2→3,1
analytic_single,450,5–<10%,0.0,0.05,1→4→2→3,1
analytic_single,450,5–<10%,0.01,0.02,1→4→2→3,20
analytic_single,450,5–<10%,0.01,0.05,1→4→2→3,20
analytic_single,450,5–<10%,0.05,0.02,1→4→2→3,9
analytic_single,450,5–<10%,0.05,0.05,1→4→2→3,18
analytic_single,456,≥10%,0.0,0.02,1→3→4→2,1
analytic_single,456,≥10%,0.0,0.05,1→3→4→2,1
analytic_single,456,≥10%,0.01,0.02,1→3→4→2,20
analytic_single,456,≥10%,0.01,0.05,1→3→4→2,20
analytic_single,456,≥10%,0.05,0.05,1→3→4→2,19
analytic_single,456,≥10%,0.05,0.02,1→3→4→2,11
analytic_single,492,5–<10%,0.0,0.02,4→2→1→3,1
analytic_single,492,5–<10%,0.0,0.05,4→2→1→3,1
analytic_single,492,5–<10%,0.01,0.02,4→2→1→3,20
analytic_single,492,5–<10%,0.01,0.05,4→2→1→3,20
analytic_single,492,5–<10%,0.05,0.02,4→2→1→3,10
analytic_single,492,5–<10%,0.05,0.05,4→2→1→3,20
analytic_single,494,1–<5%,0.0,0.02,2→1→4→3,1
analytic_single,494,1–<5%,0.0,0.05,2→1→4→3,1
analytic_single,494,1–<5%,0.01,0.02,2→1→4→3,20
analytic_single,494,1–<5%,0.01,0.05,2→1→4→3,20
analytic_single,494,1–<5%,0.05,0.02,2→1→4→3,15
analytic_single,494,1–<5%,0.05,0.05,2→1→4→3,20
analytic_single,506,5–<10%,0.0,0.02,3→1→2→4,1
analytic_single,506,5–<10%,0.0,0.05,3→1→2→4,1
analytic_single,506,5–<10%,0.01,0.02,3→1→2→4,20
analytic_single,506,5–<10%,0.01,0.05,3→1→2→4,20
analytic_single,506,5–<10%,0.05,0.02,3→1→2→4,9
analytic_single,506,5–<10%,0.05,0.05,3→1→2→4,14
analytic_single,531,1–<5%,0.0,0.02,2→3→1→4,1
analytic_single,531,1–<5%,0.0,0.05,2→3→1→4,1
analytic_single,531,1–<5%,0.01,0.02,2→3→1→4,20
analytic_single,531,1–<5%,0.01,0.05,2→3→1→4,20
analytic_single,531,1–<5%,0.05,0.02,2→3→1→4,9
analytic_single,531,1–<5%,0.05,0.05,2→3→1→4,19
analytic_single,532,1–<5%,0.0,0.02,3→2→4→1,1
analytic_single,532,1–<5%,0.0,0.05,3→2→4→1,1
analytic_single,532,1–<5%,0.01,0.02,3→2→4→1,20
analytic_single,532,1–<5%,0.01,0.05,3→2→4→1,20
analytic_single,532,1–<5%,0.05,0.02,3→2→4→1,10
analytic_single,532,1–<5%,0.05,0.05,3→2→4→1,18
analytic_single,536,5–<10%,0.0,0.02,3→2→1→4,1
analytic_single,536,5–<10%,0.0,0.05,3→2→1→4,1
analytic_single,536,5–<10%,0.01,0.02,3→2→1→4,20
analytic_single,536,5–<10%,0.01,0.05,3→2→1→4,20
analytic_single,536,5–<10%,0.05,0.02,3→2→1→4,13
analytic_single,536,5–<10%,0.05,0.05,3→2→1→4,20
analytic_single,547,5–<10%,0.0,0.02,1→3→2→4,1
analytic_single,547,5–<10%,0.0,0.05,1→3→2→4,1
analytic_single,547,5–<10%,0.01,0.02,1→3→2→4,20
analytic_single,547,5–<10%,0.01,0.05,1→3→2→4,20
analytic_single,547,5–<10%,0.05,0.05,1→3→2→4,20
analytic_single,547,5–<10%,0.05,0.02,1→3→2→4,9
analytic_single,564,≥10%,0.0,0.02,1→2→4→3,1
analytic_single,564,≥10%,0.0,0.05,1→2→4→3,1
analytic_single,564,≥10%,0.01,0.02,1→2→4→3,20
analytic_single,564,≥10%,0.01,0.05,1→2→4→3,20
analytic_single,564,≥10%,0.05,0.05,1→2→4→3,20
analytic_single,564,≥10%,0.05,0.02,1→2→4→3,10
analytic_single,573,1–<5%,0.0,0.02,4→1→3→2,1
analytic_single,573,1–<5%,0.0,0.05,4→1→3→2,1
analytic_single,573,1–<5%,0.01,0.02,4→1→3→2,20
analytic_single,573,1–<5%,0.01,0.05,4→1→3→2,20
analytic_single,573,1–<5%,0.05,0.02,4→1→3→2,10
analytic_single,573,1–<5%,0.05,0.05,4→1→3→2,20
analytic_single,575,5–<10%,0.0,0.02,4→2→1→3,1
analytic_single,575,5–<10%,0.0,0.05,4→2→1→3,1
analytic_single,575,5–<10%,0.01,0.02,4→2→1→3,20
analytic_single,575,5–<10%,0.01,0.05,4→2→1→3,20
analytic_single,575,5–<10%,0.05,0.02,4→2→1→3,11
analytic_single,575,5–<10%,0.05,0.05,4→2→1→3,20
analytic_single,579,<1%,0.0,0.02,4→3→1→2,1
analytic_single,579,<1%,0.0,0.05,4→3→1→2,1
analytic_single,579,<1%,0.01,0.02,4→3→1→2,20
analytic_single,579,<1%,0.01,0.05,4→3→1→2,20
analytic_single,579,<1%,0.05,0.02,4→3→1→2,11
analytic_single,579,<1%,0.05,0.05,4→3→1→2,19
analytic_single,591,≥10%,0.0,0.02,3→2→4→1,1
analytic_single,591,≥10%,0.0,0.05,3→2→4→1,1
analytic_single,591,≥10%,0.01,0.02,3→2→4→1,20
analytic_single,591,≥10%,0.01,0.05,3→2→4→1,20
analytic_single,591,≥10%,0.05,0.02,3→2→4→1,7
analytic_single,591,≥10%,0.05,0.05,3→2→4→1,19
analytic_single,601,5–<10%,0.0,0.02,1→4→3→2,1
analytic_single,601,5–<10%,0.0,0.05,1→4→3→2,1
analytic_single,601,5–<10%,0.01,0.02,1→4→3→2,20
analytic_single,601,5–<10%,0.01,0.05,1→4→3→2,20
analytic_single,601,5–<10%,0.05,0.05,1→4→3→2,19
analytic_single,601,5–<10%,0.05,0.02,1→4→3→2,10
analytic_single,606,<1%,0.0,0.02,4→3→1→2,1
analytic_single,606,<1%,0.0,0.05,4→3→1→2,1
analytic_single,606,<1%,0.01,0.02,4→3→1→2,20
analytic_single,606,<1%,0.01,0.05,4→3→1→2,20
analytic_single,606,<1%,0.05,0.05,4→3→1→2,19
analytic_single,606,<1%,0.05,0.02,4→3→1→2,14
analytic_single,607,1–<5%,0.0,0.02,1→2→4→3,1
analytic_single,607,1–<5%,0.0,0.05,1→2→4→3,1
analytic_single,607,1–<5%,0.01,0.02,1→2→4→3,20
analytic_single,607,1–<5%,0.01,0.05,1→2→4→3,20
analytic_single,607,1–<5%,0.05,0.02,1→2→4→3,11
analytic_single,607,1–<5%,0.05,0.05,1→2→4→3,20
analytic_single,641,≥10%,0.0,0.02,3→1→4→2,1
analytic_single,641,≥10%,0.0,0.05,3→1→4→2,1
analytic_single,641,≥10%,0.01,0.02,3→1→4→2,19
analytic_single,641,≥10%,0.01,0.05,3→1→4→2,20
analytic_single,641,≥10%,0.05,0.05,3→1→4→2,16
analytic_single,641,≥10%,0.05,0.02,3→1→4→2,6
analytic_single,647,<1%,0.0,0.02,2→3→1→4,1
analytic_single,647,<1%,0.0,0.05,2→3→1→4,1
analytic_single,647,<1%,0.01,0.02,2→3→1→4,20
analytic_single,647,<1%,0.01,0.05,2→3→1→4,20
analytic_single,647,<1%,0.05,0.05,2→3→1→4,16
analytic_single,647,<1%,0.05,0.02,2→3→1→4,6
analytic_single,648,5–<10%,0.0,0.02,3→2→1→4,1
analytic_single,648,5–<10%,0.0,0.05,3→2→1→4,1
analytic_single,648,5–<10%,0.01,0.02,3→2→1→4,20
analytic_single,648,5–<10%,0.01,0.05,3→2→1→4,20
analytic_single,648,5–<10%,0.05,0.05,3→2→1→4,20
analytic_single,648,5–<10%,0.05,0.02,3→2→1→4,11
analytic_single,660,<1%,0.0,0.02,2→1→3→4,1
analytic_single,660,<1%,0.0,0.05,2→1→3→4,1
analytic_single,660,<1%,0.01,0.02,2→1→3→4,20
analytic_single,660,<1%,0.01,0.05,2→1→3→4,20
analytic_single,660,<1%,0.05,0.02,2→1→3→4,11
analytic_single,660,<1%,0.05,0.05,2→1→3→4,18
analytic_single,690,<1%,0.0,0.02,3→2→1→4,1
analytic_single,690,<1%,0.0,0.05,3→2→1→4,1
analytic_single,690,<1%,0.01,0.02,3→2→1→4,20
analytic_single,690,<1%,0.01,0.05,3→2→1→4,20
analytic_single,690,<1%,0.05,0.05,3→2→1→4,19
analytic_single,690,<1%,0.05,0.02,3→2→1→4,10
analytic_single,710,<1%,0.0,0.02,2→1→4→3,1
analytic_single,710,<1%,0.0,0.05,2→1→4→3,1
analytic_single,710,<1%,0.01,0.02,2→1→4→3,20
analytic_single,710,<1%,0.01,0.05,2→1→4→3,20
analytic_single,710,<1%,0.05,0.05,2→1→4→3,19
analytic_single,710,<1%,0.05,0.02,2→1→4→3,8
analytic_single,712,5–<10%,0.0,0.02,3→2→4→1,1
analytic_single,712,5–<10%,0.0,0.05,3→2→4→1,1
analytic_single,712,5–<10%,0.01,0.02,3→2→4→1,20
analytic_single,712,5–<10%,0.01,0.05,3→2→4→1,20
analytic_single,712,5–<10%,0.05,0.05,3→2→4→1,19
analytic_single,712,5–<10%,0.05,0.02,3→2→4→1,11
analytic_single,722,<1%,0.0,0.02,3→1→4→2,1
analytic_single,722,<1%,0.0,0.05,3→1→4→2,1
analytic_single,722,<1%,0.01,0.02,3→1→4→2,20
analytic_single,722,<1%,0.01,0.05,3→1→4→2,20
analytic_single,722,<1%,0.05,0.05,3→1→4→2,19
analytic_single,722,<1%,0.05,0.02,3→1→4→2,8
analytic_single,731,<1%,0.0,0.02,2→1→3→4,1
analytic_single,731,<1%,0.0,0.05,2→1→3→4,1
analytic_single,731,<1%,0.01,0.02,2→1→3→4,20
analytic_single,731,<1%,0.01,0.05,2→1→3→4,20
analytic_single,731,<1%,0.05,0.02,2→1→3→4,12
analytic_single,731,<1%,0.05,0.05,2→1→3→4,18
analytic_single,749,<1%,0.0,0.02,2→4→1→3,1
analytic_single,749,<1%,0.0,0.05,2→4→1→3,1
analytic_single,749,<1%,0.01,0.02,2→4→1→3,20
analytic_single,749,<1%,0.01,0.05,2→4→1→3,20
analytic_single,749,<1%,0.05,0.02,2→4→1→3,11
analytic_single,749,<1%,0.05,0.05,2→4→1→3,20
analytic_single,776,5–<10%,0.0,0.02,2→4→3→1,1
analytic_single,776,5–<10%,0.0,0.05,2→4→3→1,1
analytic_single,776,5–<10%,0.01,0.02,2→4→3→1,20
analytic_single,776,5–<10%,0.01,0.05,2→4→3→1,20
analytic_single,776,5–<10%,0.05,0.05,2→4→3→1,18
analytic_single,776,5–<10%,0.05,0.02,2→4→3→1,5
analytic_single,777,1–<5%,0.0,0.02,2→1→3→4,1
analytic_single,777,1–<5%,0.0,0.05,2→1→3→4,1
analytic_single,777,1–<5%,0.01,0.02,2→1→3→4,20
analytic_single,777,1–<5%,0.01,0.05,2→1→3→4,20
analytic_single,777,1–<5%,0.05,0.02,2→1→3→4,17
analytic_single,777,1–<5%,0.05,0.05,2→1→3→4,20
analytic_single,784,5–<10%,0.0,0.02,4→3→1→2,1
analytic_single,784,5–<10%,0.0,0.05,4→3→1→2,1
analytic_single,784,5–<10%,0.01,0.02,4→3→1→2,20
analytic_single,784,5–<10%,0.01,0.05,4→3→1→2,20
analytic_single,784,5–<10%,0.05,0.02,4→3→1→2,15
analytic_single,784,5–<10%,0.05,0.05,4→3→1→2,20
analytic_single,789,5–<10%,0.0,0.02,3→1→2→4,1
analytic_single,789,5–<10%,0.0,0.05,3→1→2→4,1
analytic_single,789,5–<10%,0.01,0.02,3→1→2→4,20
analytic_single,789,5–<10%,0.01,0.05,3→1→2→4,20
analytic_single,789,5–<10%,0.05,0.02,3→1→2→4,12
analytic_single,789,5–<10%,0.05,0.05,3→1→2→4,20
analytic_single,792,5–<10%,0.0,0.02,1→4→2→3,1
analytic_single,792,5–<10%,0.0,0.05,1→4→2→3,1
analytic_single,792,5–<10%,0.01,0.02,1→4→2→3,20
analytic_single,792,5–<10%,0.01,0.05,1→4→2→3,20
analytic_single,792,5–<10%,0.05,0.02,1→4→2→3,7
analytic_single,792,5–<10%,0.05,0.05,1→4→2→3,17
analytic_single,797,1–<5%,0.0,0.02,2→1→3→4,1
analytic_single,797,1–<5%,0.0,0.05,2→1→3→4,1
analytic_single,797,1–<5%,0.01,0.02,2→1→3→4,20
analytic_single,797,1–<5%,0.01,0.05,2→1→3→4,20
analytic_single,797,1–<5%,0.05,0.02,2→1→3→4,11
analytic_single,797,1–<5%,0.05,0.05,2→1→3→4,19
analytic_single,804,≥10%,0.0,0.02,2→3→1→4,1
analytic_single,804,≥10%,0.0,0.05,2→3→1→4,1
analytic_single,804,≥10%,0.01,0.02,2→3→1→4,20
analytic_single,804,≥10%,0.01,0.05,2→3→1→4,20
analytic_single,804,≥10%,0.05,0.02,2→3→1→4,11
analytic_single,804,≥10%,0.05,0.05,2→3→1→4,20
analytic_single,815,<1%,0.0,0.02,3→2→1→4,1
analytic_single,815,<1%,0.0,0.05,3→2→1→4,1
analytic_single,815,<1%,0.01,0.02,3→2→1→4,20
analytic_single,815,<1%,0.01,0.05,3→2→1→4,20
analytic_single,815,<1%,0.05,0.02,3→2→1→4,14
analytic_single,815,<1%,0.05,0.05,3→2→1→4,20
analytic_single,820,<1%,0.0,0.02,3→1→4→2,1
analytic_single,820,<1%,0.0,0.05,3→1→4→2,1
analytic_single,820,<1%,0.01,0.02,3→1→4→2,20
analytic_single,820,<1%,0.01,0.05,3→1→4→2,20
analytic_single,820,<1%,0.05,0.02,3→1→4→2,10
analytic_single,820,<1%,0.05,0.05,3→1→4→2,20
analytic_single,822,5–<10%,0.0,0.02,2→1→4→3,1
analytic_single,822,5–<10%,0.0,0.05,2→1→4→3,1
analytic_single,822,5–<10%,0.01,0.02,2→1→4→3,20
analytic_single,822,5–<10%,0.01,0.05,2→1→4→3,20
analytic_single,822,5–<10%,0.05,0.05,2→1→4→3,20
analytic_single,822,5–<10%,0.05,0.02,2→1→4→3,11
analytic_single,841,≥10%,0.0,0.02,2→4→3→1,1
analytic_single,841,≥10%,0.0,0.05,2→4→3→1,1
analytic_single,841,≥10%,0.01,0.02,2→4→3→1,20
