method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
learned_single,456,≥10%,0.0,0.02,1→3→4→2,1
learned_single,456,≥10%,0.0,0.05,1→3→4→2,1
learned_single,456,≥10%,0.01,0.02,1→3→4→2,20
learned_single,456,≥10%,0.01,0.05,1→3→4→2,20
learned_single,456,≥10%,0.05,0.05,1→3→4→2,19
learned_single,456,≥10%,0.05,0.02,1→3→4→2,4
learned_single,492,5–<10%,0.0,0.02,4→2→1→3,1
learned_single,492,5–<10%,0.0,0.05,4→2→1→3,1
learned_single,492,5–<10%,0.01,0.02,4→2→1→3,20
learned_single,492,5–<10%,0.01,0.05,4→2→1→3,20
learned_single,492,5–<10%,0.05,0.02,4→2→1→3,6
learned_single,492,5–<10%,0.05,0.05,4→2→1→3,20
learned_single,494,1–<5%,0.0,0.02,2→1→4→3,1
learned_single,494,1–<5%,0.0,0.05,2→1→4→3,1
learned_single,494,1–<5%,0.01,0.02,2→1→4→3,11
learned_single,494,1–<5%,0.01,0.05,2→1→4→3,20
learned_single,494,1–<5%,0.05,0.02,2→1→4→3,6
learned_single,494,1–<5%,0.05,0.05,2→1→4→3,12
learned_single,506,5–<10%,0.0,0.02,3→1→2→4,1
learned_single,506,5–<10%,0.0,0.05,3→1→2→4,1
learned_single,506,5–<10%,0.01,0.02,3→1→2→4,14
learned_single,506,5–<10%,0.01,0.05,3→1→2→4,20
learned_single,506,5–<10%,0.05,0.05,3→1→2→4,15
learned_single,506,5–<10%,0.05,0.02,3→1→2→4,3
learned_single,532,1–<5%,0.05,0.05,3→2→4→1,1
learned_single,536,5–<10%,0.01,0.05,3→2→1→4,11
learned_single,536,5–<10%,0.05,0.05,3→2→1→4,11
learned_single,536,5–<10%,0.05,0.05,3→1→4→2,1
learned_single,547,5–<10%,0.0,0.05,1→3→2→4,1
learned_single,547,5–<10%,0.01,0.05,1→3→2→4,20
learned_single,547,5–<10%,0.05,0.05,1→3→2→4,17
learned_single,547,5–<10%,0.05,0.02,1→3→2→4,2
learned_single,564,≥10%,0.0,0.02,1→2→4→3,1
learned_single,564,≥10%,0.0,0.05,1→2→4→3,1
learned_single,564,≥10%,0.01,0.02,1→2→4→3,20
learned_single,564,≥10%,0.01,0.05,1→2→4→3,20
learned_single,564,≥10%,0.05,0.05,1→2→4→3,20
learned_single,564,≥10%,0.05,0.02,1→2→4→3,9
learned_single,573,1–<5%,0.0,0.02,4→1→3→2,1
learned_single,573,1–<5%,0.0,0.05,4→1→3→2,1
learned_single,573,1–<5%,0.01,0.02,4→1→3→2,20
learned_single,573,1–<5%,0.01,0.05,4→1→3→2,20
learned_single,573,1–<5%,0.05,0.05,4→1→3→2,20
learned_single,573,1–<5%,0.05,0.02,4→1→3→2,4
learned_single,575,5–<10%,0.0,0.05,4→2→1→3,1
learned_single,575,5–<10%,0.01,0.05,4→2→1→3,20
learned_single,575,5–<10%,0.01,0.02,4→2→1→3,5
learned_single,575,5–<10%,0.05,0.02,4→2→1→3,6
learned_single,575,5–<10%,0.05,0.05,4→2→1→3,20
learned_single,579,<1%,0.0,0.05,4→3→1→2,1
learned_single,579,<1%,0.01,0.05,4→3→1→2,20
learned_single,579,<1%,0.05,0.05,4→3→1→2,15
learned_single,579,<1%,0.05,0.05,2→4→3→1,3
learned_single,591,≥10%,0.0,0.02,3→2→4→1,1
learned_single,591,≥10%,0.0,0.05,3→2→4→1,1
learned_single,591,≥10%,0.01,0.02,3→2→4→1,18
learned_single,591,≥10%,0.01,0.05,3→2→4→1,20
learned_single,591,≥10%,0.05,0.05,3→2→4→1,18
learned_single,591,≥10%,0.05,0.02,3→2→4→1,4
learned_single,601,5–<10%,0.0,0.02,1→4→3→2,1
learned_single,601,5–<10%,0.0,0.05,1→4→3→2,1
learned_single,601,5–<10%,0.01,0.02,1→4→3→2,20
learned_single,601,5–<10%,0.01,0.05,1→4→3→2,20
learned_single,601,5–<10%,0.05,0.05,1→4→3→2,19
learned_single,601,5–<10%,0.05,0.02,1→4→3→2,6
learned_single,606,<1%,0.0,0.05,4→3→1→2,1
learned_single,606,<1%,0.01,0.05,4→3→1→2,20
learned_single,606,<1%,0.05,0.05,4→3→1→2,18
learned_single,606,<1%,0.05,0.02,4→3→1→2,1
learned_single,607,1–<5%,0.0,0.05,1→2→4→3,1
learned_single,607,1–<5%,0.01,0.05,1→2→4→3,20
learned_single,607,1–<5%,0.05,0.05,1→2→4→3,20
learned_single,641,≥10%,0.0,0.05,3→1→4→2,1
learned_single,641,≥10%,0.01,0.05,3→1→4→2,20
learned_single,641,≥10%,0.05,0.05,3→1→4→2,14
learned_single,641,≥10%,0.05,0.02,3→1→4→2,1
learned_single,648,5–<10%,0.0,0.02,3→2→1→4,1
learned_single,648,5–<10%,0.0,0.05,3→2→1→4,1
learned_single,648,5–<10%,0.01,0.02,3→2→1→4,20
learned_single,648,5–<10%,0.01,0.05,3→2→1→4,20
learned_single,648,5–<10%,0.05,0.05,3→2→1→4,20
learned_single,648,5–<10%,0.05,0.02,3→2→1→4,11
learned_single,660,<1%,0.01,0.05,2→1→3→4,5
learned_single,660,<1%,0.05,0.05,2→1→3→4,8
learned_single,660,<1%,0.05,0.02,2→1→3→4,3
learned_single,690,<1%,0.0,0.05,3→2→1→4,1
learned_single,690,<1%,0.01,0.05,3→2→1→4,20
learned_single,690,<1%,0.05,0.05,3→2→1→4,18
learned_single,690,<1%,0.05,0.02,3→2→1→4,4
learned_single,710,<1%,0.0,0.05,2→1→4→3,1
learned_single,710,<1%,0.01,0.05,2→1→4→3,19
learned_single,710,<1%,0.05,0.05,2→1→4→3,12
learned_single,710,<1%,0.05,0.02,2→1→4→3,1
learned_single,712,5–<10%,0.0,0.02,3→2→4→1,1
learned_single,712,5–<10%,0.0,0.05,3→2→4→1,1
learned_single,712,5–<10%,0.01,0.02,3→2→4→1,20
learned_single,712,5–<10%,0.01,0.05,3→2→4→1,20
learned_single,712,5–<10%,0.05,0.05,3→2→4→1,19
learned_single,712,5–<10%,0.05,0.02,3→2→4→1,7
learned_single,722,<1%,0.01,0.05,1→2→4→3,6
learned_single,722,<1%,0.05,0.05,1→2→4→3,1
learned_single,731,<1%,0.05,0.05,2→1→3→4,1
learned_single,749,<1%,0.0,0.02,3→1→4→2,1
learned_single,749,<1%,0.0,0.05,3→1→4→2,1
learned_single,749,<1%,0.01,0.02,3→1→4→2,11
learned_single,749,<1%,0.01,0.05,3→1→4→2,20
learned_single,749,<1%,0.05,0.02,3→1→4→2,5
learned_single,749,<1%,0.05,0.05,3→1→4→2,19
learned_single,776,5–<10%,0.0,0.02,2→4→3→1,1
learned_single,776,5–<10%,0.0,0.05,2→4→3→1,1
learned_single,776,5–<10%,0.01,0.02,2→4→3→1,20
learned_single,776,5–<10%,0.01,0.05,2→4→3→1,20
learned_single,776,5–<10%,0.05,0.05,2→4→3→1,16
learned_single,776,5–<10%,0.05,0.02,2→4→3→1,5
learned_single,777,1–<5%,0.0,0.02,2→1→3→4,1
learned_single,777,1–<5%,0.0,0.05,2→1→3→4,1
learned_single,777,1–<5%,0.01,0.02,2→1→3→4,11
learned_single,777,1–<5%,0.01,0.05,2→1→3→4,20
learned_single,777,1–<5%,0.05,0.02,2→1→3→4,8
learned_single,777,1–<5%,0.05,0.05,2→1→3→4,20
learned_single,784,5–<10%,0.0,0.02,4→3→1→2,1
learned_single,784,5–<10%,0.0,0.05,4→3→1→2,1
learned_single,784,5–<10%,0.01,0.02,4→3→1→2,20
learned_single,784,5–<10%,0.01,0.05,4→3→1→2,20
learned_single,784,5–<10%,0.05,0.02,4→3→1→2,16
learned_single,784,5–<10%,0.05,0.05,4→3→1→2,20
learned_single,789,5–<10%,0.0,0.02,3→1→2→4,1
learned_single,789,5–<10%,0.0,0.05,3→1→2→4,1
learned_single,789,5–<10%,0.01,0.02,3→1→2→4,20
learned_single,789,5–<10%,0.01,0.05,3→1→2→4,20
learned_single,789,5–<10%,0.05,0.02,3→1→2→4,11
learned_single,789,5–<10%,0.05,0.05,3→1→2→4,20
learned_single,792,5–<10%,0.0,0.02,1→4→2→3,1
learned_single,792,5–<10%,0.0,0.05,1→4→2→3,1
learned_single,792,5–<10%,0.01,0.02,1→4→2→3,20
learned_single,792,5–<10%,0.01,0.05,1→4→2→3,20
