layout_index,rank,order,length,excess_percent
660,1,2→1→3→4,1.3507337221395979,0.0
660,2,3→4→2→1,1.3620939098054188,0.8410382801301575
660,3,2→1→4→3,1.403001561986161,3.869588727211881
690,1,3→2→1→4,1.1331777794079718,0.0
690,2,3→2→4→1,1.1359974357079978,0.24882735535982636
690,3,3→4→1→2,1.157571647567698,2.1526955966671757
710,1,2→1→4→3,1.377760966967731,0.0
710,2,2→1→3→4,1.3873583544380537,0.6965930738657145
710,3,4→2→1→3,1.420718138495312,3.1178972664702487
712,1,3→2→4→1,1.4806497091699795,0.0
722,1,3→1→4→2,1.6443506958065273,0.0
722,2,1→4→2→3,1.6540234342377977,0.5882406019554143
722,3,1→2→4→3,1.6951988783557699,3.092295498698494
731,1,2→1→3→4,1.2047588833301082,0.0
731,2,2→1→4→3,1.206780430491055,0.16779682548253572
749,1,2→4→1→3,1.5643992448720676,0.0
749,2,3→1→4→2,1.5660411881885592,0.10495679551583148
749,3,2→4→3→1,1.6124048512506588,3.0686288385748384
776,1,2→4→3→1,1.2381940393046114,0.0
777,1,2→1→3→4,1.308720253157838,0.0
777,2,2→4→3→1,1.3456184282212893,2.8194088824115893
784,1,4→3→1→2,1.130641900152938,0.0
789,1,3→1→2→4,1.3782965632916082,0.0
792,1,1→4→2→3,1.3725999059639726,0.0
797,1,2→1→3→4,1.3319479910373608,0.0
797,2,1→3→4→2,1.3961001265924082,4.816414453621709
804,1,2→3→1→4,1.1735671345942449,0.0
815,1,3→2→1→4,1.0671869835128707,0.0
815,2,3→4→1→2,1.0757466420728057,0.8020767393319472
815,3,3→4→2→1,1.1021955100284995,3.280449167435573
820,1,3→1→4→2,0.888801184628633,0.0
820,2,3→2→4→1,0.8904902673554078,0.1900405575494979
822,1,2→1→4→3,1.3079557603861551,0.0
841,1,2→4→3→1,1.1989385989914927,0.0
851,1,4→2→1→3,1.1480703315805578,0.0
851,2,4→2→3→1,1.1722269601248871,2.1041070289720576
870,1,4→2→3→1,1.300443326820027,0.0
877,1,1→2→3→4,1.7081216127929597,0.0
884,1,4→3→1→2,1.063731798772102,0.0
887,1,2→3→1→4,1.1079509543072967,0.0
887,2,2→4→3→1,1.1122705542386768,0.38987284722189486
887,3,2→3→4→1,1.1397119956914132,2.8666468728278494
887,4,2→1→3→4,1.1453363315233933,3.374280880462832
888,1,3→1→4→2,1.2703420219894785,0.0
896,1,3→4→1→2,1.0252154917519343,0.0
899,1,4→1→3→2,1.0209184023026576,0.0
904,1,2→4→1→3,1.4925158811032337,0.0
912,1,2→3→1→4,1.3375136087277408,0.0
912,2,1→4→3→2,1.3635575189976183,1.947188432321889
912,3,1→2→3→4,1.3693827165813357,2.382712792276487
912,4,1→3→2→4,1.3817369659397436,3.306385589158123
930,1,4→2→3→1,1.1399923298788608,0.0
930,2,4→1→3→2,1.1711687741631454,2.7347942145889315
931,1,1→4→2→3,1.1657485453642293,0.0
931,2,2→3→4→1,1.2187509967504315,4.546645294731366
938,1,1→3→2→4,1.476319468251415,0.0
939,1,3→2→1→4,1.597954526196176,0.0
939,2,3→4→1→2,1.6670361768511959,4.323129946598914
944,1,4→2→1→3,1.2878239381943646,0.0
944,2,2→3→1→4,1.3404894264417413,4.089494432074159
944,3,4→1→3→2,1.3425470033088416,4.249266028646992
946,1,2→1→3→4,1.1956342090371428,0.0
950,1,4→2→3→1,1.6022462358494338,0.0
950,2,4→2→1→3,1.6605770120126842,3.640562533905789
954,1,1→4→2→3,1.6250003137588651,0.0
954,2,3→2→4→1,1.6293994282608306,0.2707146863122567
967,1,3→4→1→2,1.2220067220065103,0.0
982,1,3→1→4→2,1.7558358666981382,0.0
982,2,3→1→2→4,1.8060394479371547,2.859241127897949
993,1,1→4→2→3,1.0782056166960419,0.0
993,2,1→4→3→2,1.0828813567482332,0.43365940408650605
