trial_id,layout_index,initial_sigma,repeat_index,offset_x,offset_y,in_sample,gap_bin,gap_percent,n_candidates,method,tolerance,finite,visited_count,success,worst_distance,path_length,first_visit_order,order_ambiguous,order_in_nominal_candidate_set,target_1_distance,target_2_distance,target_3_distance,target_4_distance
25,3,0.05,4,-0.002398049299418465,0.0328787055409757,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.005733680015117839,1.3239767104712117,2→1→4→3,False,True,0.0043957033064318625,0.005733680015117839,0.0025555990865644535,0.003909401041793287
25,3,0.05,4,-0.002398049299418465,0.0328787055409757,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.005733680015117839,1.3239767104712117,2→1→4→3,False,True,0.0043957033064318625,0.005733680015117839,0.0025555990865644535,0.003909401041793287
26,3,0.05,5,-0.07527567163503052,-0.0382142042396697,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.006859247829121618,1.3606118857591731,2→1→4→3,False,True,0.003993679971317119,0.0011071155946424987,0.006859247829121618,0.00034776551033827776
26,3,0.05,5,-0.07527567163503052,-0.0382142042396697,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.006859247829121618,1.3606118857591731,2→1→4→3,False,True,0.003993679971317119,0.0011071155946424987,0.006859247829121618,0.00034776551033827776
27,3,0.05,6,-0.025603735420556106,0.036584363890978945,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.005949272486502999,1.317400321241395,2→1→4→3,False,True,0.005949272486502999,0.00018066815521855967,0.003737439555426369,0.00535094415111457
27,3,0.05,6,-0.025603735420556106,0.036584363890978945,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.005949272486502999,1.317400321241395,2→1→4→3,False,True,0.005949272486502999,0.00018066815521855967,0.003737439555426369,0.00535094415111457
28,3,0.05,7,-0.009839643737432619,0.09826176048606855,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.017032375431295117,1.2811361564143997,2→1→4→3,False,True,0.013595970414042199,0.017032375431295117,0.0076099475368096876,0.011678851950372462
28,3,0.05,7,-0.009839643737432619,0.09826176048606855,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.017032375431295117,1.2811361564143997,2→1→4→3,False,True,0.013595970414042199,0.017032375431295117,0.0076099475368096876,0.011678851950372462
29,3,0.05,8,0.059341061810214105,0.016907594578019613,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,3,False,0.020462007500267203,1.3464691405890634,,False,,0.0023277062187672943,0.020462007500267203,0.0010155017132242748,0.0010226804668331086
29,3,0.05,8,0.059341061810214105,0.016907594578019613,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.020462007500267203,1.3464691405890634,2→1→4→3,False,True,0.0023277062187672943,0.020462007500267203,0.0010155017132242748,0.0010226804668331086
30,3,0.05,9,0.005752574515355267,-0.04812508825557196,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.014620138366790528,1.3786876878344394,2→1→4→3,False,True,0.0073053727941435765,0.014620138366790528,0.0038773988449234465,0.005192549867323931
30,3,0.05,9,0.005752574515355267,-0.04812508825557196,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.014620138366790528,1.3786876878344394,2→1→4→3,False,True,0.0073053727941435765,0.014620138366790528,0.0038773988449234465,0.005192549867323931
31,3,0.05,10,-0.04000822248209501,0.02803883382564737,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0054365513776205125,1.3205948001879548,2→1→4→3,False,True,0.0049668632493628725,0.0054365513776205125,0.004050476623678611,0.00524647343068707
31,3,0.05,10,-0.04000822248209501,0.02803883382564737,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0054365513776205125,1.3205948001879548,2→1→4→3,False,True,0.0049668632493628725,0.0054365513776205125,0.004050476623678611,0.00524647343068707
32,3,0.05,11,-0.025692429471355818,0.14368301819257895,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,2,False,0.022438617716701265,1.2499290330034447,,False,,0.020810876807141044,0.022438617716701265,0.011544614795423767,0.017297812652428333
32,3,0.05,11,-0.025692429471355818,0.14368301819257895,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.022438617716701265,1.2499290330034447,2→1→4→3,False,True,0.020810876807141044,0.022438617716701265,0.011544614795423767,0.017297812652428333
33,3,0.05,12,0.007408656291113811,-0.0011994167975584022,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0027568150379507473,1.347895263475042,2→1→4→3,False,True,0.0007901458726897588,0.0027568150379507473,0.00029501694069748404,0.0002518072227369012
33,3,0.05,12,0.007408656291113811,-0.0011994167975584022,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0027568150379507473,1.347895263475042,2→1→4→3,False,True,0.0007901458726897588,0.0027568150379507473,0.00029501694069748404,0.0002518072227369012
34,3,0.05,13,0.055942307135621816,0.001981641915422093,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.018608723529780345,1.3551918547678017,2→1→4→3,False,True,0.004036183168260537,0.018608723529780345,0.001968050364735178,0.0006893365622745756
34,3,0.05,13,0.055942307135621816,0.001981641915422093,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.018608723529780345,1.3551918547678017,2→1→4→3,False,True,0.004036183168260537,0.018608723529780345,0.001968050364735178,0.0006893365622745756
35,3,0.05,14,-0.060335917117219584,0.04973475956561775,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0086100994449912,1.3030198034959952,2→1→4→3,False,True,0.008538084505607993,0.006867474110314978,0.006465818195311811,0.0086100994449912
35,3,0.05,14,-0.060335917117219584,0.04973475956561775,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0086100994449912,1.3030198034959952,2→1→4→3,False,True,0.008538084505607993,0.006867474110314978,0.006465818195311811,0.0086100994449912
36,3,0.05,15,-0.018981390577165885,0.011880471584231401,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0028130557091909174,1.3347258504353388,2→1→4→3,False,True,0.002165878718166517,0.0028130557091909174,0.0018745692461726567,0.002408019030010051
36,3,0.05,15,-0.018981390577165885,0.011880471584231401,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0028130557091909174,1.3347258504353388,2→1→4→3,False,True,0.002165878718166517,0.0028130557091909174,0.0018745692461726567,0.002408019030010051
37,3,0.05,16,0.05416047239238976,-0.09517153765119714,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,3,False,0.03593152262984586,1.4183263479283237,,False,,0.016501479633020656,0.03593152262984586,0.008909393375499012,0.012119926783806667
37,3,0.05,16,0.05416047239238976,-0.09517153765119714,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.03593152262984586,1.4183263479283237,2→1→4→3,False,True,0.016501479633020656,0.03593152262984586,0.008909393375499012,0.012119926783806667
38,3,0.05,17,-0.0040571828779801585,0.044122503499294995,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.007515205035767375,1.316436740513319,2→1→4→3,False,True,0.005996528455974177,0.007515205035767375,0.0034367927542948698,0.005251425598173427
38,3,0.05,17,-0.0040571828779801585,0.044122503499294995,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.007515205035767375,1.316436740513319,2→1→4→3,False,True,0.005996528455974177,0.007515205035767375,0.0034367927542948698,0.005251425598173427
39,3,0.05,18,0.06343397534921763,-0.050473470192670004,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,3,False,0.026773195525112228,1.3904674213629686,,False,,0.011462964653767399,0.026773195525112228,0.006065748128160261,0.007026079371144655
39,3,0.05,18,0.06343397534921763,-0.050473470192670004,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.026773195525112228,1.3904674213629686,2→1→4→3,False,True,0.011462964653767399,0.026773195525112228,0.006065748128160261,0.007026079371144655
40,3,0.05,19,-0.07667610949041274,-0.05934460284816202,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.007874165814270487,1.375173553869233,2→1→4→3,False,True,0.007026234054430507,0.004368696441856977,0.007874165814270487,0.001729650959107406
40,3,0.05,19,-0.07667610949041274,-0.05934460284816202,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.007874165814270487,1.375173553869233,2→1→4→3,False,True,0.007026234054430507,0.004368696441856977,0.007874165814270487,0.001729650959107406
