reference,candidate,initial_sigma,tolerance,gap_bin,n_layouts,n_rollouts,reference_success_percent,candidate_success_percent,delta_success_pp,rescued_rollouts,regressed_rollouts
analytic_multi,learned_multi,0.0,0.02,ALL_selected,100,100,51.0,53.0,2.0000000000000018,11,9
analytic_multi,learned_multi,0.0,0.02,<1%,25,25,0.0,8.0,8.0,2,0
analytic_multi,learned_multi,0.0,0.02,1–<5%,25,25,4.0,36.0,32.0,9,1
analytic_multi,learned_multi,0.0,0.02,5–<10%,25,25,100.0,68.0,-31.999999999999996,0,8
analytic_multi,learned_multi,0.0,0.02,≥10%,25,25,100.0,100.0,0.0,0,0
analytic_multi,learned_multi,0.0,0.05,ALL_selected,100,100,54.0,63.0,8.999999999999996,19,10
analytic_multi,learned_multi,0.0,0.05,<1%,25,25,8.0,20.0,12.000000000000002,5,2
analytic_multi,learned_multi,0.0,0.05,1–<5%,25,25,8.0,60.0,52.0,14,1
analytic_multi,learned_multi,0.0,0.05,5–<10%,25,25,100.0,72.0,-28.000000000000004,0,7
analytic_multi,learned_multi,0.0,0.05,≥10%,25,25,100.0,100.0,0.0,0,0
analytic_multi,learned_multi,0.01,0.02,ALL_selected,100,2000,52.449999999999996,48.9,-3.5499999999999976,181,252
analytic_multi,learned_multi,0.01,0.02,<1%,25,500,4.2,7.8,3.5999999999999996,30,12
analytic_multi,learned_multi,0.01,0.02,1–<5%,25,500,6.0,30.4,24.4,150,28
analytic_multi,learned_multi,0.01,0.02,5–<10%,25,500,99.8,60.6,-39.2,0,196
analytic_multi,learned_multi,0.01,0.02,≥10%,25,500,99.8,96.8,-3.0000000000000027,1,16
analytic_multi,learned_multi,0.01,0.05,ALL_selected,100,2000,58.75,62.55,3.7999999999999923,295,219
analytic_multi,learned_multi,0.01,0.05,<1%,25,500,14.799999999999999,22.2,7.400000000000001,75,38
analytic_multi,learned_multi,0.01,0.05,1–<5%,25,500,20.200000000000003,56.8,36.599999999999994,220,37
analytic_multi,learned_multi,0.01,0.05,5–<10%,25,500,100.0,71.39999999999999,-28.6,0,143
analytic_multi,learned_multi,0.01,0.05,≥10%,25,500,100.0,99.8,-0.20000000000000018,0,1
analytic_multi,learned_multi,0.05,0.02,ALL_selected,100,2000,28.65,17.849999999999998,-10.799999999999999,91,307
analytic_multi,learned_multi,0.05,0.02,<1%,25,500,7.6,4.3999999999999995,-3.2,16,32
analytic_multi,learned_multi,0.05,0.02,1–<5%,25,500,8.0,10.2,2.1999999999999993,44,33
analytic_multi,learned_multi,0.05,0.02,5–<10%,25,500,50.8,21.6,-29.200000000000003,12,158
analytic_multi,learned_multi,0.05,0.02,≥10%,25,500,48.199999999999996,35.199999999999996,-13.0,19,84
analytic_multi,learned_multi,0.05,0.05,ALL_selected,100,2000,54.2,47.55,-6.650000000000006,184,317
analytic_multi,learned_multi,0.05,0.05,<1%,25,500,14.2,13.8,-0.3999999999999976,46,48
analytic_multi,learned_multi,0.05,0.05,1–<5%,25,500,17.2,34.0,16.800000000000004,129,45
analytic_multi,learned_multi,0.05,0.05,5–<10%,25,500,92.4,55.60000000000001,-36.8,5,189
analytic_multi,learned_multi,0.05,0.05,≥10%,25,500,93.0,86.8,-6.2000000000000055,4,35
