method,trial_id,layout_index,initial_sigma,tolerance,coarse_steps,fine_steps,coarse_success,fine_success,success_changed,coarse_worst_distance,fine_worst_distance,max_position_change_at_shared_times,position_stable_at_threshold
analytic_single,2976,749,0.05,0.02,1000,2000,True,False,True,0.01996959673384925,0.0200823966774673,0.0005708755879745734,True
analytic_single,2976,749,0.05,0.05,1000,2000,True,True,False,0.01996959673384925,0.0200823966774673,0.0005708755879745734,True
analytic_multi,246,20,0.0,0.02,1000,2000,False,False,False,0.4048300047624456,0.40502192655044694,0.0008494115217274927,True
analytic_multi,246,20,0.0,0.05,1000,2000,False,False,False,0.4048300047624456,0.40502192655044694,0.0008494115217274927,True
analytic_multi,4141,954,0.0,0.02,1000,2000,False,False,False,0.3767497042400534,0.38083961568297825,0.668416543515689,False
analytic_multi,4141,954,0.0,0.05,1000,2000,False,False,False,0.3767497042400534,0.38083961568297825,0.668416543515689,False
analytic_multi,943,185,0.0,0.02,1000,2000,False,False,False,0.023744447183657626,0.023498266047812993,0.0005812544353856289,True
analytic_multi,943,185,0.0,0.05,1000,2000,True,True,False,0.023744447183657626,0.023498266047812993,0.0005812544353856289,True
analytic_multi,1230,281,0.0,0.02,1000,2000,False,False,False,0.0454007725706074,0.04276331847942902,0.4738270709476257,False
analytic_multi,1230,281,0.0,0.05,1000,2000,True,True,False,0.0454007725706074,0.04276331847942902,0.4738270709476257,False
analytic_multi,1568,366,0.01,0.02,1000,2000,False,False,False,0.4891812929849259,0.48963614700451663,0.0008247505533183725,True
analytic_multi,1568,366,0.01,0.05,1000,2000,False,False,False,0.4891812929849259,0.48963614700451663,0.0008247505533183725,True
analytic_multi,4160,954,0.01,0.02,1000,2000,False,False,False,0.47052420651975774,0.47052420657437966,0.0007199896529621296,True
analytic_multi,4160,954,0.01,0.05,1000,2000,False,False,False,0.47052420651975774,0.47052420657437966,0.0007199896529621296,True
analytic_multi,2141,532,0.01,0.02,1000,2000,False,False,False,0.05006599890840034,0.050054406621271454,0.00036988275118059655,True
analytic_multi,2141,532,0.01,0.05,1000,2000,False,False,False,0.05006599890840034,0.050054406621271454,0.00036988275118059655,True
analytic_multi,1289,312,0.01,0.02,1000,2000,False,False,False,0.04987877688598597,0.049618024011040957,0.0010126710444666647,True
analytic_multi,1289,312,0.01,0.05,1000,2000,True,True,False,0.04987877688598597,0.049618024011040957,0.0010126710444666647,True
analytic_multi,4180,954,0.05,0.02,1000,2000,False,False,False,0.5519431561470034,0.5515927641891729,0.000719988039302341,True
analytic_multi,4180,954,0.05,0.05,1000,2000,False,False,False,0.5519431561470034,0.5515927641891729,0.000719988039302341,True
analytic_multi,4172,954,0.05,0.02,1000,2000,False,False,False,0.5141374014672575,0.5141374014938461,0.0003570553513549117,True
analytic_multi,4172,954,0.05,0.05,1000,2000,False,False,False,0.5141374014672575,0.5141374014938461,0.0003570553513549117,True
analytic_multi,193,13,0.05,0.02,1000,2000,True,False,True,0.019967068238925474,0.020020292569216423,0.000586007821420894,True
analytic_multi,193,13,0.05,0.05,1000,2000,True,True,False,0.019967068238925474,0.020020292569216423,0.000586007821420894,True
analytic_multi,3797,904,0.05,0.02,1000,2000,False,False,False,0.05004459628592733,0.05015258113826563,0.0002897826336381423,True
analytic_multi,3797,904,0.05,0.05,1000,2000,False,False,False,0.05004459628592733,0.05015258113826563,0.0002897826336381423,True
